Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
"C10, C2, C9",0805,3,100nF,
"C3, C6",0805,2,1uF,
C4,0805,1,100pF,
C5,CP_Elec_5x3,1,4.7uF,
"C7, C8",0805,2,10pF,
J1,Jack_3.5mm_PJ320E_Horizontal,1,AudioJack2,
J2,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J3,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
L1,0805,1,Yellow,
PWR1,0805,1,Green,
"R1, R3, R6, R7, R9",0805,5,10k,
R10,0805,1,2.2k,
"R11, R12",0805,2,5K1,
"R2, R4, R8",0805,3,1k,
R5,0805,1,100k,
SW1,SW_PUSH_6mm,1,REV,
SW2,SW_PUSH_6mm,1,FWD,
SW3,SW_PUSH_6mm,1,RESET,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U2,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U3,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,16MHz,
