Designator,Mid X,Mid Y,Rotation,Layer
C1,168.0,-106.0,270.0,top
C10,155.0,-100.0,0.0,top
C2,155.0,-102.0,0.0,top
C3,155.0,-104.0,0.0,top
C4,144.0,-95.0,90.0,top
C5,155.0,-111.0,90.0,top
C6,155.0,-106.0,0.0,top
C7,137.0,-102.0,135.0,top
C8,141.0,-108.0,315.0,top
C9,140.0,-100.0,90.0,top
J1,169.2175,-75.0,0.0,top
J2,139.0,-69.0,180.0,top
J3,154.27,-70.54,180.0,top
L1,130.0,-71.0,270.0,top
PWR1,128.0,-71.0,270.0,top
R1,170.0,-102.0,90.0,top
R10,128.0,-75.0,270.0,top
R11,138.32,-75.2,270.0,top
R12,140.32,-75.2,270.0,top
R2,170.0,-98.0,90.0,top
R3,136.0,-114.0,270.0,top
R4,165.0,-92.0,270.0,top
R5,167.0,-95.0,0.0,top
R6,166.0,-113.9125,270.0,top
R7,168.0,-92.0,270.0,top
R8,130.0,-75.0,90.0,top
R9,144.0,-114.0,270.0,top
SW1,137.75,-122.25,180.0,top
SW2,157.75,-122.25,180.0,top
SW3,147.75,-122.25,180.0,top
U1,166.0,-100.0,180.0,top
U2,160.5,-84.0,270.0,top
U3,147.0,-102.0,270.0,top
Y1,138.886307,-105.123744,225.0,top
